Year,State,General:Total Ballots Counted,VEP,Total registered,Primary:Total Ballots Counted,Re-election
2000,43,6407637,13033081,8929000,1913647,0
2004,43,7410765,13796256,9681000,1526846,1
2008,43,8077795,14929810,10123000,4237308,0
2012,43,7993851,16119973,10749000,2039641,1
2016,43,8975000,17448910,11724000,4272383,0
2000,44,784582,1431668,953000,271957,0
2004,44,942010,1574463,1141000,296875,1
2008,44,971185,1700286,1056000,428459,0
2012,44,1028786,1833339,1138000,262425,1
2016,44,1152369,1991885,1398000,281606,0
2000,45,297146,459174,330000,154748,0
2004,45,314220,470754,354000,161879,1
2008,45,326822,482677,345000,196715,0
2012,45,301793,493355,357000,103264,1
2016,45,320467,494871,351000,197012,0
2000,46,2789808,5069265,3317000,989946,0
2004,46,3223156,5277156,3441000,395903,1
2008,46,3753059,5555415,3950000,1475455,0
2012,46,3888186,5834676,4210000,265570,1
2016,46,3984631,6027152,4399000,1810466,0
2000,47,2517028,4098044,2852000,349717,0
2004,47,2883499,4272914,3133000,382677,1
2008,47,3071587,4561163,3299000,1386701,0
2012,47,3172939,4822060,3533000,50764,1
2016,47,3363440,5123020,3906000,817152,0
2000,48,648124,1390365,886000,374606,0
2004,48,769645,1396545,935000,380459,1
2008,48,731691,1430439,917000,457382,0
2012,48,670438,1447066,982000,293519,1
2016,48,714423,1423031,913000,446600,0
2000,49,2598607,3842044,2970000,866965,0
2004,49,3016288,4006948,3225000,989765,1
2008,49,2997086,4120694,3095000,1524360,0
2012,49,3068434,4209370,3318000,1088102,1
2016,49,2976150,4285071,3323000,2113544,0
2000,50,221685,361078,240000,7096,0
2004,50,245789,370785,265000,7545,1
2008,50,256035,405732,270000,9953,0
2012,50,250701,425142,268000,1308,1
2016,50,258788,429682,304000,8568,0
