Year,State,General:Total Ballots Counted,VEP,Total registered,Primary:Total Ballots Counted,Re-election
2016,Washington,3363440,5123020,3906000,817152,0
2000,WestVirginia,648124,1390365,886000,374606,0
2004,WestVirginia,769645,1396545,935000,380459,1
2008,WestVirginia,731691,1430439,917000,457382,0
2012,WestVirginia,670438,1447066,982000,293519,1
2016,WestVirginia,714423,1423031,913000,446600,0
2000,Wisconsin,2598607,3842044,2970000,866965,0
2004,Wisconsin,3016288,4006948,3225000,989765,1
2008,Wisconsin,2997086,4120694,3095000,1524360,0
2012,Wisconsin,3068434,4209370,3318000,1088102,1
2016,Wisconsin,2976150,4285071,3323000,2113544,0
2000,Wyoming,221685,361078,240000,7096,0
2004,Wyoming,245789,370785,265000,7545,1
2008,Wyoming,256035,405732,270000,9953,0
2012,Wyoming,250701,425142,268000,1308,1
2016,Wyoming,258788,429682,304000,8568,0
